qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,Adi001,Aga001,Age001,Ama006,0.23097826086956522,0.5489130434782609,0.22010869565217392,368.0
2,Adi001,Aga001,Age001,Ape001,0.21739130434782608,0.5543478260869565,0.22826086956521738,368.0
3,Adi001,Aga001,Ama006,Ape001,0.7581521739130435,0.12771739130434784,0.11413043478260869,368.0
4,Adi001,Age001,Ama006,Ape001,0.8396739130434783,0.07880434782608696,0.08152173913043478,368.0
5,Aga001,Age001,Ama006,Ape001,0.7690217391304348,0.09782608695652174,0.1331521739130435,368.0
6,Adi001,Aga001,Age001,Aru001,0.2717391304347826,0.5081521739130435,0.22010869565217392,368.0
7,Adi001,Aga001,Ama006,Aru001,0.3423913043478261,0.29347826086956524,0.3641304347826087,368.0
8,Adi001,Age001,Ama006,Aru001,0.5407608695652174,0.2418478260869565,0.21739130434782608,368.0
9,Aga001,Age001,Ama006,Aru001,0.3233695652173913,0.3858695652173913,0.2907608695652174,368.0
10,Adi001,Aga001,Ape001,Aru001,0.3342391304347826,0.296195652173913,0.3695652173913043,368.0
11,Adi001,Age001,Ape001,Aru001,0.529891304347826,0.24456521739130435,0.22554347826086957,368.0
12,Aga001,Age001,Ape001,Aru001,0.32608695652173914,0.3967391304347826,0.27717391304347827,368.0
13,Adi001,Ama006,Ape001,Aru001,0.11684782608695653,0.12771739130434784,0.7554347826086957,368.0
14,Aga001,Ama006,Ape001,Aru001,0.11141304347826086,0.14945652173913043,0.7391304347826086,368.0
15,Age001,Ama006,Ape001,Aru001,0.10054347826086957,0.12771739130434784,0.7717391304347826,368.0
16,Adi001,Aga001,Age001,Asu001,0.09510869565217392,0.8043478260869565,0.10054347826086957,368.0
17,Adi001,Aga001,Ama006,Asu001,0.12771739130434784,0.7690217391304348,0.10326086956521739,368.0
18,Adi001,Age001,Ama006,Asu001,0.5706521739130435,0.20380434782608695,0.22554347826086957,368.0
19,Aga001,Age001,Ama006,Asu001,0.13858695652173914,0.10326086956521739,0.7581521739130435,368.0
20,Adi001,Aga001,Ape001,Asu001,0.125,0.7635869565217391,0.11141304347826086,368.0
21,Adi001,Age001,Ape001,Asu001,0.5733695652173914,0.21739130434782608,0.20923913043478262,368.0
22,Aga001,Age001,Ape001,Asu001,0.15217391304347827,0.10326086956521739,0.7445652173913043,368.0
23,Adi001,Ama006,Ape001,Asu001,0.13043478260869565,0.11684782608695653,0.7527173913043478,368.0
24,Aga001,Ama006,Ape001,Asu001,0.0625,0.07336956521739131,0.8641304347826086,368.0
25,Age001,Ama006,Ape001,Asu001,0.14945652173913043,0.10597826086956522,0.7445652173913043,368.0
